"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Indiana",14733.3190038396,530361.333893398,77382.2671084849,16204.5716231069,121310.361330675,67727.1074200161,31325.9478919633,34443.6866118074,18239.3291668965,21982.475695326,30007.5925167015,46798.091678936,20523.267135561,0,19995.647704248,45791.0453326849,4109.83588825637,9007.70601232078,6744.74564680537,26246.5358056182,28277.0058326991,21067.251318397,43214.9871047811,11666.4197783253,32903.1663171814,109585.268367662,40561.5237333165,73946.2507779299,27442.2661355162,28657.8971652231,85421.0995809209,17343.0264106038,12715.0959634169,33509.8751395764,7294.07850201792,32791.5546540813,60163.688038488,11023.7233085061,35321.018087541,6433.99023518065,40127.3323284766,5391.80619207516,226143.201694215,46184.3116242994,27268.8452045113,3706.09820431138,30526.2723226338,12558.0579828252,18381.2871129853,61305.2328141579
"Iowa",5382.90934440661,510499.88967859,57479.8838098173,4254.47684445456,102081.69592558,47826.7632351385,51084.6334332194,54007.5492498965,5728.087182472,3020.85824400947,49557.4228210225,26819.1589490815,8351.99772368264,19995.647704248,0,25852.5751069482,16325.2851246647,11105.1717582395,25103.2681218781,46072.1659135491,48205.7147456907,6312.31730546714,23372.1054920176,8795.21896435217,13197.757712085,89671.387512071,20584.524635308,53998.3150250163,46960.0188114198,48629.8955754266,65501.5659057675,17243.7650326169,7632.16670431798,13524.0997348585,16911.1158640582,12858.1514701609,40247.263544307,14193.835269824,54925.9664716571,25735.3242709316,20137.6804543224,14694.1362785466,206406.558733524,26214.5056763541,46740.6700498228,16299.7196061895,10655.0565444581,31904.7416290494,2278.86260805692,41336.8218847664
"Kansas",31125.3562233575,484651.580121207,31630.5337560228,29870.4432966168,76937.5012782252,21981.6630983736,76932.3710048637,79823.2496483349,28339.3690633084,23868.7887445425,75375.8862609283,1801.89741775163,27526.9779665985,45791.0453326849,25852.5751069482,0,42162.4113437597,36905.8438924298,50891.0389173389,71922.3534683036,74045.433338002,25887.6496395965,2989.15494319047,34526.8791466895,13038.130382156,63819.2645352514,5357.29977884382,28156.9613009376,72775.866718044,74439.8700175014,39655.6658977957,37451.0270828572,33149.6327025942,12628.525442426,41678.7498545434,13030.3854162339,14397.1735525589,38047.4846268778,80749.3475057997,51575.1806594451,6068.31481220281,40512.165421894,180622.313352815,1294.06447381883,72546.5563188467,42093.7702433507,15272.1214223696,57728.5951672133,27421.1500019602,15533.5888320793
"Kentucky",11060.9559461423,526797.102936571,73780.9381225429,12365.6869042363,118070.576583424,64132.3355356064,34827.6630484217,37788.4485003235,15285.5998974067,18491.5047763453,33343.9738372618,43105.8614137672,17946.8368352643,4109.83588825637,16325.2851246647,42162.4113437597,0,5299.88327094097,9035.60439285054,29810.3523352945,31933.4569774852,18125.9673262119,39654.3505038174,7741.735434649,29382.4346637255,105971.83652302,36887.7024112373,70309.42087697,30736.4470325849,32406.3235819631,81792.8414906121,16855.6914415428,9377.18588288085,29782.2726920294,7514.69217522581,29141.015926738,56552.7327220436,10029.749379167,38688.3187794456,9442.64272116657,36408.6352172174,1856.33969415622,222660.465765187,42503.3117708491,30523.2312074197,1880.43738007943,26945.2727823342,15661.0095218795,14882.0083400864,57638.0945216451
"Louisiana",5781.70173859738,521520.727863095,68512.630406182,7219.23530022398,112791.008888841,58865.0344869516,40114.9636317721,43087.7061127649,10271.7312206852,13202.4428701055,38642.9579396505,37870.0000820187,13195.0443759921,9007.70601232078,11105.1717582395,36905.8438924298,5299.88327094097,0,14278.5251187544,35084.411692967,37178.1069584628,13073.2980872043,34378.0931473809,2818.76507337877,24094.8066913785,100706.798510925,31648.8920672683,65058.5787291184,36035.5065273252,37613.1181994913,76528.4100974507,14625.2482270934,4212.86034690209,24597.4078921012,8043.50849341256,23881.0609807353,51288.7284209396,8105.46386327766,43986.8994859788,14738.6585824491,31188.603780426,3631.6168620189,217368.519772251,37260.314634737,35820.6755859573,5407.84973463575,21681.5893444554,20956.6367074586,9611.51479104101,52395.6130449955
"Maine",19953.1529106455,535518.862725457,82509.4356774157,21053.8993137352,127055.501589157,72870.8119499083,26190.1762952848,28963.4923033964,24294.8980414181,27430.8891099523,24529.1150030754,51759.3368968382,26855.664063145,6744.74564680537,25103.2681218781,50891.0389173389,9035.60439285054,14278.5251187544,0,21311.6541232467,23602.5734620952,27140.8186550738,48463.5874361866,16437.3749093339,38259.3621675793,114669.284045811,45572.8677075966,78983.7953543611,21902.2535935369,24274.9212674645,90492.0982268888,24022.1197806438,18408.509733338,38380.606440911,13982.147064557,37899.4258468502,65282.766871339,17735.4053210407,29883.7831209521,1893.84774596587,45039.0631547338,10865.2811918698,231484.651532343,51177.2637927244,21661.9767835833,9742.14804014495,35757.001045654,6890.67630411558,23819.8891999543,66292.2455940361
"Maryland",40854.5822566931,556554.610800583,103546.509202623,42145.9221575896,147462.169974506,93889.2527229587,5132.17478244847,8680.16385822295,44396.5988256263,48203.9492166607,4767.06187020894,72870.7373840316,46399.9743247386,26246.5358056182,46072.1659135491,71922.3534683036,29810.3523352945,35084.411692967,21311.6541232467,0,2724.53612787572,47193.6487694912,69401.1220091405,37512.0399135651,59116.7567456208,135741.33884733,66646.5885031965,100060.508063802,3569.9166923193,3991.42486765065,111573.677458216,40426.6607485568,38955.3953391581,59484.6146408767,31788.2368241776,58922.5063399377,86314.956667533,35928.4762302007,9429.38370215148,20443.7670434683,66163.2760136588,31471.7831104642,252375.955651192,72275.2714230282,3956.52159685752,29907.3249141343,56683.5085489598,14466.1540682933,44583.2179551634,87395.425784276
"Massachusetts",42953.3237224828,558634.756326305,105652.695547905,44295.6402392933,149330.002065306,95995.9206457384,4062.51691842631,7846.05020331249,46329.6473111862,50259.1671976775,5145.8346011993,75020.5787251178,48224.675630906,28277.0058326991,48205.7147456907,74045.433338002,31933.4569774852,37178.1069584628,23602.5734620952,2724.53612787572,0,49101.8216037857,71488.1351717675,39657.1745535105,61180.0124834868,137854.803754686,68790.1072512821,102197.400780695,5166.44203780513,1622.61961654603,113687.819736065,41842.312401783,40983.1588606149,61665.6494560991,33512.8417925144,61039.6118875939,88428.5563231697,37630.1469529419,8355.29474434625,22626.5234359347,68324.6578112361,33555.1884437921,254389.740576335,74416.6160630467,5597.92649881186,31964.9089015204,58787.4094450683,16771.4971538769,46654.9908442012,89542.507385831
"Michigan",8295.01074058376,509692.444285132,57019.4456461688,8639.40289666479,100275.851514143,47406.676900885,52304.9790048949,55494.8297102973,2854.67640213387,4414.73931938229,51062.3285665754,27166.0801213131,2370.84329302887,21067.251318397,6312.31730546714,25887.6496395965,18125.9673262119,13073.2980872043,27140.8186550738,47193.6487694912,49101.8216037857,0,23063.6942183792,11799.1747551089,12939.1397416366,89164.1762103195,21072.9780396815,53753.2059940614,48507.5343248861,49330.4493292936,65094.6207340215,12694.2654102709,8862.44149861651,15069.0853727922,15926.1563126857,13589.0300681874,39954.7689492756,12169.4058527933,56365.0565104205,27349.7857274769,20920.5951127711,16283.7652869476,205341.587278693,26497.096992933,48335.7947794396,17530.5560982103,11223.5151805528,33572.5792928172,5105.47059167909,41320.2840001808
"Minnesota",28602.3048908318,487158.739454546,34171.3791461232,27434.7529988881,78986.076778205,24516.7637905169,74434.5735776084,77379.3412398296,25573.5456935482,21248.3000980408,72928.6766971649,4631.25402003604,24643.5928192786,43214.9871047811,23372.1054920176,2989.15494319047,39654.3505038174,34378.0931473809,48463.5874361866,69401.1220091405,71488.1351717675,23063.6942183792,0,32070.9819705743,10337.4188573792,66374.7923055884,3681.31747878392,30784.4307865989,70331.8559473792,71851.2733066777,42228.1186420802,34496.7818994482,30539.4554429594,10548.7149062054,38915.3894235892,10598.8909057316,16974.5245900703,35229.9355344414,78297.2068790682,49087.5570019532,4676.68511174315,37971.5521892706,183034.704042303,3961.54135830992,70111.097447069,39523.298683364,12726.1993677453,55269.9203646106,24834.8511036487,18261.7230123255
"Mississippi",3680.00052467388,519149.738735587,66136.6422787822,4663.17497258038,110701.519032913,56498.7143884788,42500.4846127912,45380.5442979797,9183.91461278359,11128.251456653,40940.0733036728,35428.7817123084,12405.9338968294,11666.4197783253,8795.21896435217,34526.8791466895,7741.735434649,2818.76507337877,16437.3749093339,37512.0399135651,39657.1745535105,11799.1747551089,32070.9819705743,0,21864.8543878069,98311.9327896207,29232.0483310715,62651.2241391467,38318.0041227306,40144.120743835,74127.4064600462,15847.2598736059,3531.3797338151,22132.9391689423,10609.4442296899,21507.4983052167,48912.9852130454,9892.99605961713,46291.5843852433,17086.0548716461,28727.1964079355,6284.61490151942,215068.559845427,34830.9800474534,38083.6806395141,8125.93072823661,19393.0469474732,23238.1741522887,7636.80061688794,49967.3948295286
"Missouri",18334.2905853922,497460.748759944,44496.3709054974,17278.0628272066,88901.8742972858,34847.9270136245,64163.9966692701,67146.0319501972,15323.2918020542,10924.557083127,62695.4674350395,14242.5391318543,14749.7760916056,32903.1663171814,13197.757712085,13038.130382156,29382.4346637255,24094.8066913785,38259.3621675793,59116.7567456208,61180.0124834868,12939.1397416366,10337.4188573792,21864.8543878069,0,76697.5481336066,8156.19426559348,41116.5935681155,60098.3215051935,61535.3833225048,52546.1189263003,25009.3237043627,20211.8188820403,4223.0588473404,28650.1649556665,2080.91491246038,27305.2393427269,25054.777015723,68054.8796493249,38824.0189443713,8071.47700437163,27676.7901143973,193283.428980278,13579.1506440609,59883.2622881595,29219.2121860275,2778.13016089959,45027.4421039448,14533.7262047315,28549.4994486769
"Montana",94925.2188986157,420849.774049259,32204.2102137298,93656.9918436419,23129.4170964705,41862.9500106001,140748.247647303,143605.849758775,91807.7164869598,87614.4361005103,139163.503220714,62910.4555371848,90448.0391048717,109585.268367662,89671.387512071,63819.2645352514,105971.83652302,100706.798510925,114669.284045811,135741.33884733,137854.803754686,89164.1762103195,66374.7923055884,98311.9327896207,76697.5481336066,0,69108.796875518,35707.364977003,136560.033241461,138225.911718161,24189.8079923674,99281.8159518655,96903.9855937954,76317.6724955524,105088.046246315,76831.1321777156,49428.0502017316,101232.988518501,144538.275715762,115382.804174496,69632.2654092225,104316.670054083,117112.280162055,63493.4795891326,136320.98609835,105892.336082837,79068.841501097,121523.76861115,91204.0815138577,48385.9138424904
"Nebraska",25873.45687558,489953.751079583,36940.2554280896,24570.6452836225,82262.7258464737,27303.8136470274,71642.8250991989,74507.8664472524,23385.6896623469,18723.7947044289,70062.8768060519,6249.11940459614,22879.67842413,40561.5237333165,20584.524635308,5357.29977884382,36887.7024112373,31648.8920672683,45572.8677075966,66646.5885031965,68790.1072512821,21072.9780396815,3681.31747878392,29232.0483310715,8156.19426559348,69108.796875518,0,33425.8037379043,67460.3625763818,69208.3957086776,44939.9390498964,33081.7701219645,27965.1661323887,7290.01250495498,36678.2720376574,7807.40604697873,19715.7077580517,33162.4017965964,75436.5093084244,46283.7845833679,1068.15762900426,35259.9315834575,185958.994134594,5644.31719962654,67227.2407177448,36864.1224743028,10122.5490551738,52421.2107271894,22228.587653614,20753.004078834
"Nevada",59278.1226231938,456544.545832461,3935.83867814726,57991.1178773689,50836.6591422214,6431.81716165035,105057.189180286,107907.570339948,56327.2706395126,52008.4464141172,103464.711770849,27232.4713532503,55170.2997689164,73946.2507779299,53998.3150250163,28156.9613009376,70309.42087697,65058.5787291184,78983.7953543611,100060.508063802,102197.400780695,53753.2059940614,30784.4307865989,62651.2241391467,41116.5935681155,35707.364977003,33425.8037379043,0,100865.980775879,102589.905697149,11639.9089684628,64475.0143212888,61296.6388701077,40616.0787271802,69659.2450799181,41178.5391076723,13818.7050026404,65897.6701361285,108842.157862323,79709.5731525072,33948.3352162149,68667.5080982003,152692.959522425,27822.6421534135,100629.736561476,70247.8781435603,43421.8417962216,85841.235959255,55573.2679143714,12701.2020709695
"New Hampshire",41780.5977295969,557408.890873779,104399.805575357,42947.2604399268,148740.08952327,94756.6952126809,4870.5120185151,7068.95733605035,45680.5428978783,49219.1607332561,2696.10347666776,73650.1938695996,47868.4094808685,27442.2661355162,46960.0188114198,72775.866718044,30736.4470325849,36035.5065273252,21902.2535935369,3569.9166923193,5166.44203780513,48507.5343248861,70331.8559473792,38318.0041227306,60098.3215051935,136560.033241461,67460.3625763818,100865.980775879,0,6760.83751246841,112387.560765407,42475.7759519753,40041.6556218696,60251.6471170083,33454.7690075436,59786.1083179538,87170.3503571599,37599.2103152447,7983.84055820881,21302.6029203687,66928.2254868041,32478.8184696488,253364.780957435,73070.5151913472,559.568823381003,31037.2683606741,57611.6563471326,15090.1511295447,45594.1038212453,88177.5387496362
"New Jersey",43376.8545999407,558955.474648593,106022.154971281,44768.6281840632,149484.474470188,96364.8827787224,5000.14860404168,8745.30566686494,46580.5949658535,50622.0393980932,6563.98043331179,75446.5693795523,48381.7227440704,28657.8971652231,48629.8955754266,74439.8700175014,32406.3235819631,37613.1181994913,24274.9212674645,3991.42486765065,1622.61961654603,49330.4493292936,71851.2733066777,40144.120743835,61535.3833225048,138225.911718161,69208.3957086776,102589.905697149,6760.83751246841,0,114070.768175384,41718.3511990155,41342.7973927551,62114.1971194388,33633.3284471237,61447.6171424906,88808.546880016,37725.8906503213,9128.72494003954,23204.3977795352,68764.8865597297,33983.909121265,254662.395854239,74836.3845843778,7203.71903978077,32349.0837952561,59170.7158794289,17524.8196924391,47029.4302900056,89953.9587217239
"New Mexico",70747.2417129665,445028.958830007,8120.02014978411,69474.0975720851,40322.3851509568,17747.7102573149,116579.504442572,119437.446775991,67709.8003149145,63454.0323699637,114995.460158166,38739.8785337861,66446.1571412704,85421.0995809209,65501.5659057675,39655.6658977957,81792.8414906121,76528.4100974507,90492.0982268888,111573.677458216,113687.819736065,65094.6207340215,42228.1186420802,74127.4064600462,52546.1189263003,24189.8079923674,44939.9390498964,11639.9089684628,112387.560765407,114070.768175384,0,75515.2490652246,72741.5573330823,52162.6784484041,81012.4674201447,52654.8415178509,25276.0538875454,77198.0747908398,120366.993690282,91202.3521952674,45462.9118248886,80141.5808338225,141159.795247891,39318.3042572591,112147.441230518,81729.537338086,54909.7459889408,97344.208047041,67042.190531751,24240.4539703963
"New York",14799.9150450264,518905.266463646,67478.3932005646,16557.9053851053,108575.118000422,58052.2868801919,45506.2290960798,49074.2815860823,11627.9089724722,16683.8118189489,44839.519848929,38895.649589413,10490.1464140449,17343.0264106038,17243.7650326169,37451.0270828572,16855.6914415428,14625.2482270934,24022.1197806438,40426.6607485568,41842.312401783,12694.2654102709,34496.7818994482,15847.2598736059,25009.3237043627,99281.8159518655,33081.7701219645,64475.0143212888,42475.7759519753,41718.3511990155,75515.2490652246,0,12713.5874416154,27639.1544433418,10050.5600805577,25995.2138730748,50867.0862868751,6859.6619788733,49825.9742782065,23333.3919312667,33077.1111971844,15386.7932040305,214383.728847463,38204.2903386845,42403.8014138839,15373.3036524652,23704.3791989771,28830.1944494813,15036.2775268648,52450.0367468661
"North Carolina",2654.99547186055,517664.643675208,64702.9771250566,4609.38272141726,108718.081877809,55053.7662107008,44023.0163486431,47077.0652202588,6077.55891147918,9291.5442063685,42633.01763718,34194.5486906261,9107.9234804043,12715.0959634169,7632.16670431798,33149.6327025942,9377.18588288085,4212.86034690209,18408.509733338,38955.3953391581,40983.1588606149,8862.44149861651,30539.4554429594,3531.3797338151,20211.8188820403,96903.9855937954,27965.1661323887,61296.6388701077,40041.6556218696,41342.7973927551,72741.5573330823,12713.5874416154,0,21066.1925386364,9470.9308081149,20169.3628822058,47497.5545246953,7497.96912626346,47966.4043324711,18759.1252875101,27572.7092308119,7577.05429042184,213444.453170927,33566.9956066387,39842.1896319078,9067.4315529206,17898.7991770426,24996.102520251,5760.7467843067,48674.274474371
"North Dakota",18859.9023935147,497160.592549833,44175.9318947875,17474.6909716424,89482.4171652448,34546.1153915806,64458.6197149768,67291.6507966509,16999.9351329468,12036.8848859495,62848.823350023,13440.1977931167,17159.3472334935,33509.8751395764,13524.0997348585,12628.525442426,29782.2726920294,24597.4078921012,38380.606440911,59484.6146408767,61665.6494560991,15069.0853727922,10548.7149062054,22132.9391689423,4223.0588473404,76317.6724955524,7290.01250495498,40616.0787271802,60251.6471170083,62114.1971194388,52162.6784484041,27639.1544433418,21066.1925386364,0,30050.4072560024,2405.99784488682,26965.1094081315,26780.5274343598,68226.7099546387,39135.8860353563,6745.19574734492,28196.5016508946,193211.688190814,12879.6975765893,60017.831095347,29813.8669331907,3989.7270349737,45241.9038506339,15339.7958037257,27936.0846621372
