EntrezID	gene_size
100861548	4443
100861555	2331
100862671	995
100862704	1143
10087	5651
100873962	587
100874043	697
100874052	812
100874055	1330
100874058	3000
100874253	661
100874264	573
100874337	373
100874362	806
100874372	388
100885776	2787
100885789	1791
100885848	1781
100887750	3494
10090	4198
10092	7209
10093	2582
10094	1098
10095	1715
10096	6718
10097	3861
10098	4062
10099	6467
100996246	1484
100996286	1592
100996342	1175
100996348	591
100996455	2340
100996579	2333
100996717	14425
100996717|388677	5042
100996763|100996717|25832	10779
100996842	679
101	3279
10100	3177
10101	2235
10102	2192
10105	2190
101055625	963
10106	4795
101060146	6813
101060200	15455
101060376	2148
101060684|728841|400818	5835
101060691	7611
10109	2226
10111	8306
10112	3201
10113	3057
10114	7408
10116	7122
10120	2243
10121	3519
10123	4013
10124	3212
10125	5023
10126	1504
10127	3830
10128	6335
10129	13200
10130	2682
10131	2309
10133	3521
10134	1810
10135	4582
10137	6662
10138	5095
10139	5178
10140	2229
101410533	718
10142	12471
10144	5858
10146	10240
10147	6176
10150	4669
10152	22209
10153	3463
10154	7346
10155	2960
10156	5605
10157	3233
10158	846
10159	3593
10161	3004
10162	2902
10163	5676
10165	3192
10166	1586
10169	2792
1017	2598
10170	2863
10171	2134
10172	2172
101735302	1255
10174	3459
10175	4793
101752399	3634
10178	12891
10179	6725
10180	4324
10181	5616
10184	5043
10186	2110
101867536	12727
10188	5940
10189	1088
1019	2076
10190	1637
101926888	660
101926895	657
101926918	5052
101927015	495
101927111	2226
101927151	2401
101927156	1771
101927181|55501	15979
101927217	1079
101927221	2048
101927275	779
101927288	2268
101927323	379
101927402	1907
101927412	591
101927420	769
101927438	1977
101927482	1413
101927547	1069
101927550	3398
101927596	455
101927599	1033
101927612	5654
101927620	1076
101927621	815
101927631	927
101927636	1303
101927708	1110
101927751	3688
101927765	575
101927780	5103
101927837	1462
101927851	889
101927891	3542
101927957	2194
101928000	1646
101928062	883
101928069	944
101928085	621
101928111	455
101928118	2447
101928143|8650	5172
101928153	3139
101928343	3493
101928389	1554
101928448	765
101928464	4000
101928527	866
101928530	555
101928578	3473
101928603	814
101928659	401
101928674	777
101928707	992
101928728	2000
101928784	869
101928834	1404
101928846	2117
101928865	1642
101928891	684
101928941	772
101929054	1101
101929072	1207
101929140	1910
101929145	2888
101929147	2469
101929215	2705
101929241	1115
101929243	718
101929295	1926
101929302	1088
101929331	583
101929351	463
101929422	943
101929423	2350
101929538	1916
101929544	687
101929567	8839
101929574	598
101929623	2592
101929693	1790
101929698	1771
101929709	3802
101929769	348
101929780	3827
10193	5596
101930071	2383
101930085	4200
101930370	2036
10194	7080
10195	1697
101954266	164
101954271	107
101954277	167
101954278	107
10196	4159
10197	3366
10198	6351
10199	2484
102	11431
1020	1758
10200	1103
10201	2004
10203	5223
10204	2608
10205	2620
10206	7249
102060282	790
10207	8505
10208	4074
10209	2330
1021	11612
10210	4098
10211	1912
10212	1903
10213	4890
10215	3262
10217	4640
10219	1335
10220	8657
10221	3635
10223	2802
10224	2663
10225	4516
10226	2333
10227	2173
10228	4851
10229	2657
10230	1344
10233	1628
10235	2983
10236	7646
10237	2487
10238	6340
10239	5891
1024	3055
10240	1462
10241	3682
10243	4297
10244	2450
10245	1528
102465451	164
102465835	99
102466747|29990	4345
102466865	101
102467147	656
10247	1057
10248	927
1025	2463
10250	4011
10252	2608
10253	2708
10254	5701
102546294	2033
10257	5839
1026	2267
10260	8665
10261	2785
10262	2085
10263	1692
10267	910
10269	3154
1027	2657
10270	3670
10272	2542
102723166	2595
102723373	721
102723526	582
102723540	570
102723566	2055
102723766	2044
102723828	734
102723859	2116
102723897	1679
102724023|8209	1674
102724159	4564
102724159|5822	4564
102724163	577
102724190	1817
102724200	3898
102724316	2025
102724428	4705
102724532	3939
102724596	601
102724601	688
102724814	3243
102724826	4666
102724889	686
102724985|23042	4830
102725121	718
10273	1853
10274	6055
10276	3402
10277	5267
1028	2051
10280	1743
10282	3586
10283	2103
10284	2300
10285	4341
10286	1299
10287	1593
10288	2924
10289	1010
1029	1283
10290	10782
10291	5143
10293	2028
10294	3122
10295	2558
10296	5371
10298	5735
10299	9569
103	6625
1030	3911
10300	3854
10302	1741
103021294	1903
10307	2801
10308	4999
103091865	1028
1031	2904
10311	5648
10312	2681
10313	4937
10314	4781
10316	3298
10318	2935
1032	1422
10320	6189
10321	2205
10322	2593
10325	2061
10326	3241
10327	1818
10328	1962
10329	4531
1033	1070
10330	1214
10333	5880
10335	6155
103352539	2877
10336	5685
10342	3271
10346	2989
10347	6816
10349	6362
10352	2811
10360	877
10362	2434
103625684	107
10363	4112
10365	2018
10367	2488
10370	2354
10371	8225
103752588	825
10376	3198
10379	1838
10380	2737
10383	2035
10384	4547
10385	3590
10388	5567
10389	4200
1039	2702
10390	5300
103910	1249
10392	4610
10393	1674
10395	7447
10396	8270
10397	3983
10398	2821
10399	1651
104	6882
1040	4461
10400	1050
10401	2901
10402	3571
10403	2172
10404	1947
10409	1878
10410	808
10412	4594
104169671	858
10417	2156
10418	4837
10419	2531
10420	3074
10421	3421
10422	1867
10423	2353
10424	3785
10425	4933
10426	3899
104266958	571
10427	5083
10428	1275
1043	581
10430	1783
10432	2828
104326191	534
10434	2585
10435	2023
10436	4898
10437	2116
10438	2233
10439	2624
10440	2523
10443	9427
10444	4259
10445	2450
10447	2508
10449	3350
10450	4651
10451	4990
10452	3415
10454	3237
10455	3870
10456	1284
10458	3689
10459	1860
10460	2781
10461	3954
10462	1800
10463	6218
10464	3154
10465	752
10466	5418
10467	3958
10469	2227
10472	3851
10473	1225
10474	2554
10475	9413
10476	2191
10477	1570
10478	2530
10479	4872
10480	5051
10482	4128
10483	3411
10484	4215
10487	3105
10488	1832
10489	4455
10490	5351
10491	6651
10492	6764
10493	2734
10494	4619
10495	4263
104968399	1035
10497	14550
10498	3330
10499	8447
105	8421
1050	2631
10500	5262
10501	3986
10505	6007
10507	5684
10509	3807
1051	1956
10512	5174
10513	6478
10514	4807
10516	2633
10519	1247
1052	2178
10520	2759
10521	6441
10522	2500
105221694	1806
10523	4173
10524	2296
10526	5325
10527	6191
105274304	1717
10528	2980
10529	9216
1053	1554
10531	3487
10533	4959
10534	1077
10535	1487
10536	3226
105369154	2902
105369779	1443
105370683	486
105370888	2325
105371730	1599
105371795	2053
105371849	699
105372273	569
105372476	712
105372482	2708
105372751	2908
105372824|8566	7366
105373098	602
105373383	755
105375666	380
105376575|4925	3256
105377348	883
105378687	661
105378753	1293
105378828	961
10538	980
10539	3827
1054	4109
10540	2061
10541	1463
10542	1830
10544	1348
10548	2452
10549	1005
10550	2101
10552	1702
10553	1748
10555	1512
10556	2589
10557	1537
10558	2780
10559	1851
10560	3671
10561	1687
10562	2897
10564	8852
10565	7225
10566	3339
10567	821
10569	3793
10570	2729
10572	4142
10573	2229
10574	2031
10575	2520
10576	2189
10577	1436
10578	2055
10580	7354
10581	892
10585	3420
10587	3155
10588	948
10589	989
1059	2840
10591	834
10592	5992
10598	1402
1060	6940
10600	3835
10602	5700
10603	2113
10605	2782
10606	6480
10607	6803
10608	4228
10609	2791
10610	2170
10611	6219
10612	4419
10613	5792
10614	3600
106144532	552
10615	4040
10616	2774
10617	6691
10618	6489
1062	8612
10620	4271
10621	2416
10622	3285
10623	1851
10625	4199
10626	3206
10627	1229
10628	2926
10629	2116
1063	10307
10632	1582
10634	3382
10635	2235
10636	2415
10637	1626
10640	10589
10641	3113
10643	4250
10644	3688
10645	5598
10651	1592
10652	2696
10653	3807
10654	1280
10657	2757
10658	7666
10659	8044
1066	2178
10661	1592
10663	2805
10664	3939
10666	12319
106660606	543
10667	1692
10668	2309
10670	1589
10671	1127
10672	4922
10673	2614
10677	2891
10678	2763
10681	8906
10682	1775
1069	1454
10691	6410
10693	3353
10694	2005
10695	1704
10699	5378
1070	2432
107075116	2301
107080638|51256	2598
1071	1791
10713	2177
10714	3821
10717	2818
1072	1878
10721	9055
10723	5280
10724	5155
10725	14219
10726	1800
10728	2939
1073	6747
10730	4127
10732	2456
10733	3841
10734	4450
10735	6335
10739	2407
10741	3861
10743	7662
10744	691
10745	4314
10746	10992
10749	7919
1075	6125
10752	8023
10755	2071
10758	5128
10762	5233
10765	10345
10766	4561
10767	7163
10768	4313
10769	2960
10771	4306
10772	3957
10773	4106
10775	3385
10776	5362
10778	5124
10780	4551
10781	4401
10782	4852
10783	3619
10785	2205
10787	20347
10788	5844
10791	689
10793	3757
10794	3350
10795	13475
10797	4456
107984285	3104
107984360	1426
107984895	1269
107984921	3245
107985075	1804
107985209	2157
107986100	1268
107986927	1945
107987462|102725035|11025	2848
10799	1483
10800	3034
10801	4453
10802	6299
10803	2653
10804	2131
10806	2567
10807	2314
10808	5191
10809	1963
10810	4823
10811	1678
10813	2488
10817	2174
10818	6600
10825	6728
10826	3817
10827	4443
10838	6320
1084	1640
10842	2268
10844	4302
10845	4695
10847	11754
10849	3286
10855	4652
10856	2009
10857	1911
10859	3216
10863	7052
10865	3079
10866	2658
10867	4323
10868	4458
10869	4719
10870	613
10871	1517
10873	2311
10875	4261
1088	2305
10884	4331
10885	9974
1089	1205
10890	3535
10892	9368
10894	3273
10897	1124
10898	1738
10899	1287
109	5050
10900	3686
10902	4388
10903	3332
10904	4083
10905	8576
10906	3178
10907	3504
10908	4617
10910	14131
10911	1601
10912	1065
10913	4323
10914	4519
10915	4654
10916	2189
10917	2440
10920	4007
10921	3337
10922	3011
10923	4273
10924	1851
10926	3907
10927	4484
10928	4368
10929	4028
10930	1151
10933	2359
10935	2277
10936	2115
10938	4551
10939	3367
10940	4719
10942	1106
10943	3446
10944	4258
10945	1594
10946	3673
10947	3669
10948	3451
10949	8726
10950	1485
10951	2422
10952	687
10953	2062
10954	2232
10955	4445
10956	3870
10957	2065
10959	2560
10960	1800
10961	1735
10962	4075
10963	2743
10964	5874
10965	1774
10966	3859
10969	1503
10970	3093
10971	2216
10972	4127
10973	8146
10975	1324
10978	2435
10980	1432
10981	1217
10982	4323
10983	2772
10984	91667
10985	8675
10987	5691
10988	3601
10989	3001
10992	3932
10994	4248
10998	5032
10999	3028
11001	2394
11004	2955
11006	4002
11007	1524
11010	5877
11011	3608
11014	2884
11016	6680
11017	1802
11018	1340
11019	1775
1102	3232
11020	6475
11021	2945
11022	3093
11027	4429
11031	4055
11033	2363
11034	3617
11035	1930
11037	5614
1104	2844
11040	2075
11041	2072
11043	2876
11044	5459
11046	1613
11047	1530
1105	8095
11051	4436
11052	6616
11054	4506
11056	6362
11057	8735
11059	4686
11060	4515
11062	2280
11064	7660
11065	914
11066	2161
11068	1533
1107	7356
11070	2197
11073	5378
11076	6022
11078	10129
11079	3044
1108	6554
11080	2988
11082	2169
11083	8574
11091	3151
11092	2536
11096	9056
11097	2529
11098	5323
11100	3555
11101	5165
11102	7985
11103	10118
11104	1984
11107	5330
11108	4210
1111	4153
11112	1990
11113	8708
11116	14166
11117	3943
11118	3733
11119	3442
1112	7832
11120	3113
11123	6802
11124	6817
11126	3388
11127	6325
11128	6640
11129	2769
11130	1961
11131	2728
11132	4406
11133	1691
11137	2621
11138	3803
11140	1608
11142	1489
11143	9644
11144	2371
11145	2594
11146	1995
11151	2891
11152	2610
11153	3347
11154	4595
11156	2785
11157	1352
11159	2904
11159|11158	2498
1116	1920
11160	6073
11161	2633
11162	5306
11163	9753
11164	3433
11165	9905
11167	5943
11168	3391
11169	5996
1117	2169
11171	1866
11174	7311
11176	8831
11177	6010
11179	2218
1118	5607
11180	4401
11182	3417
11183	4812
11184	2700
11186	2060
11188	5350
1119	2530
11190	15703
11191	3996
11193	2623
11194	4683
11196	7168
11198	4684
112	6464
11200	2560
11201	6133
1121	5442
11212	2558
11213	8663
11214	13215
11215	9920
11216	4072
11218	4332
11219	2262
1122	7594
11221	2676
11222	1706
11224	785
11226	5207
11227	6171
11228	5510
1123	2447
11230	1334
11231	6411
11232	1731
11234	4880
11235	2067
11236	2637
11237	7453
11238	6835
112399	2849
1124	3530
11240	4345
11243	1275
11244	5200
112464	1174
112479	3846
112483	1563
112487	2717
112495	952
11251	2895
11252	3249
11253	5048
112574	5218
11258	3023
11259	4219
112597	1096
11260	6414
11261	3329
112611	3744
112616	2066
11262	3246
11264	5684
11266	1270
11267	2319
11269	3386
11273	4574
11274	2129
11275	3134
112752	1765
112755	4664
11276	8229
11277	1783
112770	1851
11278	10637
11279	8964
112812	1012
11284	2111
112840	2993
112849	1527
11285	2653
112858	3515
112869	1153
112936	3691
112939	4445
112942	2048
112950	1924
113	6213
1130	13934
113000	2159
113026	6107
11311	2790
113115	1793
11313	1810
113130	2587
11314	1858
11315	1088
11316	1770
113174	1582
113177	2144
113178	2973
113179	1620
113189	3574
11319	3069
11320	8432
113201	3962
11321	2496
11322	5268
113230	2187
113235	6487
113246	980
11325	4337
113251	6427
11326	2190
113263	4743
113277	3266
11328	3621
11329	3576
11331	1518
11332	2429
11333	2546
11334	1691
11335	2128
11336	5748
11337	1634
11338	3131
11339	1236
11340	2423
113402	2576
113419	3579
11342	2866
11343	4941
11344	1718
113444	3454
11345	2274
113451	5848
1135	4067
113510	3579
113540	1064
113612	4944
113655	1548
113675	1449
113730	2991
113763	2933
113791	3030
1138	3623
113802	1874
113828	15561
113829	3617
113835	3874
113878	2769
114034	2389
114044	2539
114049	3886
114088	5284
114112	2950
114132	3173
114134	7003
114294	2978
114327	6987
1145	2455
114548	4461
114599	146
114609	2245
114614	1600
114625	3949
114659	3162
1147	4845
114769	1051
114770	2758
114781	8525
114783	5113
114785	4282
114789	3714
114790	3615
114791	3849
114792	3699
114793	5575
114796	5701
114799	4773
114801	5017
114803	7793
114804	4955
114814	1599
114819	5368
114822	3683
114823	5789
114825	3991
114826	4384
114836	2743
114876	4195
114879	3889
114880	10513
114881	4497
114882	7239
114883	4520
114884	7723
114885	4191
114899	2802
114904	5003
114907	6744
114908	3579
114926	2958
114932	2127
114971	2272
114984	1036
114987	4878
114991	9289
115	7725
115004	3182
115024	1729
115098	1055
115106	1125
115123	4196
115196	4029
1152	1709
115201	2501
115207	6225
115209	2105
115294	4252
1153	3528
115330	1969
115350	2954
115352	4725
115353	2037
115361	6127
115362	4699
115399	2769
1154	5042
115416	3044
115426	3723
1155	1473
115509	3547
115548	4981
115650	3944
115703	4219
115704	3855
115708	3229
115727	4074
115752	3763
115761	3760
115817	2660
115825	9321
115827	8896
115939	1243
115950	2240
115992	2419
116028	1865
116064	7903
116068	4259
116071	2569
116092	1290
1161	3424
116113	5948
116115	4023
116138	1909
116143	2626
116150	4676
116151	3046
116154	2728
116159	3101
116173	1931
116225	1375
116228	2631
116236	3592
116254	2024
116285	2051
1163	1166
116362	861
116369	3653
1164	613
116412	2038
116442	3505
116443	7770
116444	3281
116447	2029
116448	2277
116461	1960
116496	6928
116540	1162
116541	626
116840	3769
116841	2403
116842	2207
116843	2368
116844	3036
116931	10744
116966	4911
116983	5319
116984	7514
116985	5767
116986	5388
116987	10832
116988	3751
117143	2539
117144	2619
117145	2406
117155	5071
117156	672
117157	2523
117177	9646
117178	5843
117245	3032
117246	3559
117247	10051
117289	3887
1173	2091
1174	1306
1175	935
117583	8174
117584	7293
1176	1730
117608	2802
1178	635
117854	3403
118	5179
1181	4615
1182	6692
1183	6750
1184	10108
118424	2455
118429	8273
118460	5153
118472	2004
118487	1202
118490	2421
118491	6686
1185	5631
1186	4720
118672	3538
118788	4803
118813	3047
118881	1094
118924	4780
118932	1596
118980	6866
118987	9699
119	9267
119016	2784
119032	2422
1191	3080
1193	2655
119391	6423
119392	1503
1195	3208
119504	3567
119559	1363
1196	2702
119710	1062
1198	10498
120	4337
1200	3536
120071	2528
1201	3867
120103	6012
120224	2234
120227	2325
1203	6664
120406	1873
120425	5610
120526	2745
120534	3417
1207	2993
120863	2337
120892	9158
1209	2732
121053	23529
1211	1890
1212	1489
121260	2779
121268	1261
121274	7819
1213	8587
121355	1621
121441	4046
121456	3311
121457	3189
121504	1918
121506	2096
121512	8242
121536	5099
121551	5767
121642	1159
121665	4148
121952	2312
122060	2855
122402	4782
122416	6727
122481	3300
122525	3498
122553	4533
122616	2503
122618	6515
122622	2600
122704	2020
122769	1886
122773	2691
122786	5123
122809	6779
122830	7644
122945	2023
122953	5401
122961	2626
122970	2362
123	1972
1230	2731
123016	5270
123036	5146
123041	9950
123096	5169
123169	2193
1232	2000
123207	11244
123228	4281
123263	2734
123283	3610
1233	3095
123355	5971
1234	3450
1235	4018
1236	2173
123606	7613
123688	4097
1237	1253
123720	5101
1238	2956
123803	2398
123811	2275
123879	6162
123920	2330
1240	5283
124044	2335
124045	3339
124093	3458
1241	4110
124152	3482
124222	2793
124245	4654
124359	8159
1244	5312
124401	3098
124402	2641
124411	5994
124446	1292
124454	3961
124460	3304
124491	4959
124512	1184
124535	4094
124540	7612
124565	4300
124583	3534
124599	2286
124602	3643
124637	3509
124641	1122
124751	2562
124790	1528
124801	2484
124808	2082
124923	2975
124935	8136
124936	1910
124961	5206
124976	3447
124989	3931
124995	2013
124997	6733
125050	328
125058	10936
125061	1730
125144	1662
125150	2008
125228	4340
125336	6848
125476	3245
125488	4117
125875	974
125893	2697
125919	3659
125950	4693
125988	896
126003	5498
126006	776
126014	2061
126017	6151
126068	4356
126069	2471
126070	4189
126074	1684
126075	1408
126119	996
126133	3995
126208	1925
126231	2501
126259	1262
126272	1865
126282	3845
126295	2003
126298	9685
126299	1412
1263	2492
126308	3391
126321	2124
126326	4335
126328	2406
126364	2415
126375	3888
126382	1565
1264	1848
1265	2266
126526	3628
126549	3218
1266	2165
126626	8964
126695	1793
1267	5217
126731	5121
126789	1783
126792	2777
1268	6031
126868	3229
1269	5254
126917	6188
127002	4375
127018	2169
127253	3430
127255	4524
127262	2414
127396	2097
127428	10436
127495	1951
127544	2598
127602	13763
127687	2229
127703	3218
127733	5571
127829	1793
127933	8478
127943	1989
128	2615
128061	2657
128077	3975
128240	1125
128272	3029
128308	1423
128312	2364
128338	2246
128346	2308
128372	939
128387	2389
1284	6281
128439	2652
128486	4597
1285	8097
128553	12187
1286	10341
128611	10953
128637	5195
128646	1958
128710	6062
128866	1646
128869	1632
128977	3350
128989	3109
1290	6949
129049	6643
129080	2173
1291	4238
129138	2403
1292	3461
129285	3208
129293	3895
1293	10749
129303	2323
1294	9276
129401	2828
129446	12675
129450	6525
129530	1038
129531	3270
129563	4671
1296	4670
129607	2884
129642	7751
129685	6680
129787	2762
129790	2292
1298	2887
129804	4598
129831	2964
129880	3475
1299	2485
1300	3498
130026	8151
130074	5285
130162	2248
130340	2515
130355	1150
130367	3336
130399	8994
1305	3093
130502	822
130507	8005
130535	2940
130540	2075
130557	2139
130589	2484
130617	2021
1308	5734
130814	1830
130827	3593
130872	6574
130888	3120
130916	4529
130951	2543
1310	6233
131034	5431
131076	769
131096	5137
131118	1630
131177	1319
1312	2437
1314	4789
131408	3677
131450	3679
131474	1603
1315	3481
131544	10729
131566	6122
131583	2494
1316	4656
131601	1933
1317	4744
1318	1785
131870	6108
131965	4020
132	2222
132001	2768
132014	2808
132158	2083
132160	2429
132299	1886
132320	3673
132321	6170
1326	3096
132660	6127
1327	3946
132720	8901
132789	5382
132864	6878
132884	4828
1329	738
132949	3590
133	1889
133015	2073
133308	3126
133383	1619
133396	2903
133418	4281
133522	10568
133619	5504
133686	3614
1337	767
133746	9042
133957	9342
1340	667
134145	1928
134147	2335
134187	8418
134218	6208
134266	4109
134353	6584
134359	2229
134429	4606
134430	7048
134492	8005
1345	1098
134510	2392
134549	4019
134553	5065
134637	6651
1347	914
134728	5656
1349	2471
134957	9177
135	2736
1350	1584
1351	507
135112	6457
135114	3314
135154	1196
1352	2873
135228	9401
135293	4708
1353	3244
1355	7689
1359	1795
136	1875
136051	3144
1362	9394
136332	3163
1366	1923
136647	7668
1368	6655
136895	3357
137075	2169
1371	2825
137209	3275
137392	4241
1374	5232
137492	4906
1375	2662
1376	4539
137682	2549
137695	4512
137797	594
1378	7470
137835	1993
137872	2229
137886	5068
1379	1788
137902	4805
137964	6298
137994	2745
1380	4240
138050	5236
138151	6899
138199	4130
138241	3321
138311	2410
1384	2763
138428	2692
138429	2198
1385	7650
1386	4176
138639	4517
1387	10803
138716	1092
1388	2624
1389	3754
1390	2306
139065	8545
139105	4611
139189	7407
139201	2539
139231	7457
139285	8443
139322	6466
139324	6200
139341	1196
139596	2234
1396	2241
1397	1976
139716	4718
139735	6105
1398	3880
139818	6664
139886	4117
1399	5325
14	2270
140	2245
140459	4535
140460	4985
140461	2615
140465	1305
140467	1954
140469	5529
140545	2260
140564	2528
140606	2070
140609	4149
140612	4096
140685	5198
140688	5991
140699	3425
1407	3834
140700	2181
140707	6648
140710	14371
140733	4994
140735	6805
140739	2135
1408	4204
140803	8425
140807	2015
140809	2698
140823	498
140825	1278
140831	2773
140838	3964
140862	2593
140876	4377
140885	4570
140890	9353
140894	2531
140901	6685
140947	3135
141	4546
1416	2819
142	3958
142678	4247
142679	5176
1427	1536
1428	1507
142891	6935
1429	2899
142910	3575
142940	3408
143	5474
143098	5080
1431	3057
143187	4131
1432	4319
143279	5368
143282	2545
143384	11311
1434	3553
143458	3798
143471	1876
1435	4210
143570	5681
1436	3989
143684	3952
143686	9558
143689	3759
143872	5685
143879	3751
143884	3278
143888	4374
1439	4863
144097	2024
1441	6074
144100	4980
144108	5754
144110	3595
144132	14862
144165	5811
144193	2260
144195	4125
144233	3253
144245	10253
144348	5108
144363	1259
144402	3489
144404	7461
144406	4675
144423	3010
144455	5740
1445	2767
144535	9766
144571	2192
144577	4151
144608	2870
144699	2111
144715	2843
144717	3256
144811	4262
144983	3011
145173	4254
1452	6067
145200	639
145282	7434
1453	6094
145389	2787
145482	4859
145483	4078
1455	2918
145508	4662
145553	889
145567	19458
1456	4635
1457	4416
145748	3001
145773	3465
145781	3156
145783|54816	4902
145853	4253
145864	3071
1459	4978
1460	2487
146050	5595
146057	10905
146059	4637
146198	4664
1462	12625
146206	4687
146223	7026
146225	1054
146330	3547
146433	1779
146434	5513
146439	3519
1465	8475
146540	3282
146542	2506
146547	2840
146691	5595
146705	3642
146712	3324
146722	1825
1468	1946
146850	3392
146857	8469
146862	5679
146880	2732
146909	4217
146923	3828
146956	2354
147007	3148
147011	3168
147015	2037
1471	3286
147138	4419
147166	3189
147179	7474
147184	2073
147199	431
147339	5462
147495	3809
1475	821
1476	2163
147650	1960
147657	4738
147660	5255
147686	3694
147687	3597
147694	4955
147699	1953
1477	4290
147700	2006
147727	1983
1478	2074
147804	2920
147807	1260
147808	2021
147837	2754
147841	2315
1479	2797
147923	3535
147929	2519
147947	3440
147948	2824
147949	4916
147965	4133
147991	6015
148022	2722
148103	3476
148137	3606
148156	7032
148189	2480
148206	6812
148213	6497
148223	2403
148229	5237
148254	8557
148266	4061
148268	5559
148304	4684
148327	1752
148362	4124
148413	2228
148423	3391
148479	3681
148534	6822
1486	6600
148641	2891
1487	4250
148741	3342
1488	6939
148808	4095
148823	4130
148867	7898
148932	5725
149013	7061
149041	11261
149076	3106
1491	2044
149111	2558
149175	2685
149233	2912
1493	1977
149345	1341
149371	5100
149420	4279
149428	2336
149473	2654
149478	2659
149483	2988
1495	3831
149603	3017
149628	2083
1497	2866
149837	6113
149840	1154
1499	3737
149951	1987
149986	2548
150	3745
1500	6553
150000	4080
150159	1879
150165	1690
150197	2128
150209	2850
150223	1613
150274	1114
